Topic,Score
security,5.296563956048781
network,3.60929332991497
cryptography,2.8263718430870255
network security,2.7292573331740337
edition,2.5105772596818063
cryptography network,1.9403708661287442
familiarise,1.7304622159417913
principles,1.4300113371986227
authentication,1.2906571415829005
algorithms,1.2109028072943857
cryptosystem,1.1753926909581045
algorithm,1.0606601717798212
issues,1.0577085734934988
des,1.0436690478816346
key,1.0436690478816346
